Constituency,Party,VoteShare_%,Male_Voters,Female_Voters,Age_18_25,Age_26_40,Age_41_60,Age_60_plus
Gangavalli,DMK,22.17,170866,166423,65069,120318,109740,42162
Gangavalli,ADMK,31.93,170866,166423,65069,120318,109740,42162
Gangavalli,BJP,22.47,170866,166423,65069,120318,109740,42162
Gangavalli,INC,23.43,170866,166423,65069,120318,109740,42162
Attur,DMK,29.12,125869,123629,48214,84682,80845,35757
Attur,ADMK,26.53,125869,123629,48214,84682,80845,35757
Attur,BJP,28.64,125869,123629,48214,84682,80845,35757
Attur,INC,15.71,125869,123629,48214,84682,80845,35757
Yercaud,DMK,28.69,177503,172118,83381,110466,101037,54737
Yercaud,ADMK,18.67,177503,172118,83381,110466,101037,54737
Yercaud,BJP,20.76,177503,172118,83381,110466,101037,54737
Yercaud,INC,31.88,177503,172118,83381,110466,101037,54737
Omalur,DMK,20.05,153849,143391,54449,106148,93843,42800
Omalur,ADMK,20.85,153849,143391,54449,106148,93843,42800
Omalur,BJP,18.88,153849,143391,54449,106148,93843,42800
Omalur,INC,40.23,153849,143391,54449,106148,93843,42800
Mettur,DMK,24.76,162730,173425,73660,114414,85145,62936
Mettur,ADMK,31.32,162730,173425,73660,114414,85145,62936
Mettur,BJP,20.07,162730,173425,73660,114414,85145,62936
Mettur,INC,23.85,162730,173425,73660,114414,85145,62936
Edappadi,DMK,26.76,138532,132335,67179,95572,82593,25523
Edappadi,ADMK,24.22,138532,132335,67179,95572,82593,25523
Edappadi,BJP,24.63,138532,132335,67179,95572,82593,25523
Edappadi,INC,24.4,138532,132335,67179,95572,82593,25523
Sankari,DMK,28.05,144808,143346,60534,99003,74145,54472
Sankari,ADMK,24.25,144808,143346,60534,99003,74145,54472
Sankari,BJP,25.74,144808,143346,60534,99003,74145,54472
Sankari,INC,21.97,144808,143346,60534,99003,74145,54472
Salem West,DMK,22.4,139335,139632,66471,89989,94423,28084
Salem West,ADMK,21.0,139335,139632,66471,89989,94423,28084
Salem West,BJP,30.81,139335,139632,66471,89989,94423,28084
Salem West,INC,25.79,139335,139632,66471,89989,94423,28084
Salem North,DMK,25.93,126251,135934,65085,85361,70226,41513
Salem North,ADMK,23.04,126251,135934,65085,85361,70226,41513
Salem North,BJP,25.62,126251,135934,65085,85361,70226,41513
Salem North,INC,25.41,126251,135934,65085,85361,70226,41513
Salem South,DMK,18.22,142879,133912,66492,97714,84207,28378
Salem South,ADMK,18.71,142879,133912,66492,97714,84207,28378
Salem South,BJP,31.38,142879,133912,66492,97714,84207,28378
Salem South,INC,31.69,142879,133912,66492,97714,84207,28378
